path,date,fam,fmax,voa_mean,voa_range,voa_slope_dB_per_GHz,voa_end_minus_start,voa_corr_f,ipd_mean,ipd_rel_range_pct,ipd_slope_pct_per_GHz
data_PD0008_1/Bandwidth/15um/H.V/WO/Bias_-7V_Iph_1mA.xlsx,02/04/2026,A,29.42,6.310137931034483,0.10099999999999998,0.0006940176061497927,-0.006000000000000227,0.1593527901363707,-1.0081724137931034,2.479734582891533,-0.016799953640337307
data_PD0008_1/Bandwidth/25 um/Bias_-5V_Iph_1mA_diff_probe_upto_30GHz.xlsx,02/16/2026,B,31.33,4.612816666666666,0.023000000000000576,0.000535680412078802,0.0030000000000001137,0.6462134388823004,-1.0115500000000002,0.3954327517176613,-0.0012844779888174479
data_PD0008_1/Bandwidth/25 um/Bias_-7V_Iph_1mA_diff_probe_upto_30GHz.xlsx,02/16/2026,B,31.08,4.621933333333334,0.0389999999999997,0.0002115696917680789,-0.020999999999999908,0.14984830214144498,-1.0173666666666668,0.8846368074440666,0.0028639668952606103
data_PD0008_1/Bandwidth/30um/120 ohm/Bias_-7V_Iph_1.034mA.xlsx,01/21/2026,A,27.75,5.89018,0.008000000000000007,-0.00012728090478365638,0.0019999999999997797,-0.5025011314430875,-59.786660000000005,0.12544604431825232,-0.004472457556519458
data_PD0008_1/Bandwidth/30um/120 ohm/Bias_-7V_Iph_6mA.xlsx,01/21/2026,A,28.08,13.401439999999997,0.013999999999999346,-0.00020910618580650592,-0.002000000000000668,-0.46218166478379297,-64.71824,0.23795455500643461,-0.00789517790680025
data_PD0008_1/Bandwidth/30um/40 ohm/Bias_-7V_Iph_1mA.xlsx,01/21/2026,A,37.83,6.341387500000001,0.04600000000000026,-0.0011134327197161573,-0.04400000000000048,-0.9566342291317134,-177.3352,0.025939576575897336,0.00018578266658833347
data_PD0008_1/Bandwidth/30um/40 ohm/Bias_-7V_Iph_6mA.xlsx,01/21/2026,A,47.0,14.108125000000001,0.03399999999999892,-0.00029470771790323096,-0.023999999999999133,-0.3961029969471268,-182.37311250000002,0.04386611540666888,-0.00046434435693042483
data_PD0008_1/Bandwidth/30um/60 ohm/Bias_-7V_Iph_1mA.xlsx,01/21/2026,A,37.83,7.708250000000001,0.12700000000000067,-0.003954061401847028,-0.09700000000000042,-0.8830362824226541,-118.56665000000001,0.09783526818038601,0.0017440609771462922
data_PD0008_1/Bandwidth/30um/76 ohm/Bias_-7V_Iph_1mA.xlsx,01/21/2026,A,33.67,5.907766666666668,0.03500000000000014,0.0009483672494325037,0.025000000000000355,0.8744665111788095,-93.13143333333333,0.07194133881757044,-0.0019764612183477692
data_PD0008_1/Bandwidth/30um/76 ohm/Bias_-7V_Iph_6mA.xlsx,01/21/2026,A,34.67,13.52362857142857,0.06800000000000139,-0.0019266121304328337,-0.06099999999999994,-0.9642171233418604,-98.16177142857144,0.11307864394111372,0.003132597211595437
data_PD0008_1/Bandwidth/30um/Figure_03_27_2026/200 ohm/Bias_-3V_Iph_1mA.xlsx,03/29/2026,A,26.17,3.7692666666666668,0.03299999999999992,0.0008974327852707567,-0.0040000000000000036,0.6429052689781893,-15.990783333333333,0.12507204671024882,0.0037244176744891545
