D,V,lab,camp,Rm,sheet,n,fmax,Cpd_CV,f_RC,f3_meas,f3src,rms0,mean0,min0,rms0_le15,rms0_gt15,r0_5,r0_10,r0_15,r0_20,r0_end,tau_x_ps,f_x,rms_pole,tau_xo_ps,c0_pole,rms_poleo,tau_x15_ps,k,rms_k,ko,c0_k,rms_ko,f_g,rms_g,f_e,rms_e,C_inf,rms_Cinf,C_inf_ratio,C_ph,rms_Cph,C_ph_ratio,s11rms_base,s11rms_Cinf_fixL,s11rms_Cinf_refitL,L1_inf,Lm_inf,L2_inf,fRC_Cinf,fRC_Cinf_refit,f3_model_base,f3_model_pole,f3_model_k,f3_model_g,f3_model_Cinf
40,-5,80,40V2,77.2,Bias_5V_Iph_1mA_40um_38ohm_2.xlsx,30,16.0,274.6000000000001,18.703225406116925,15.967454416582614,raw,0.7433309660859089,-0.5286447833187007,-1.610561020837506,0.7547694994494161,0.5591385471825833,-0.1830285736400138,-0.985411544375195,-0.45901157177537877,,-0.666116017090292,6.037833977756011,26.359609038313774,0.3667057508586923,5.759449122641444,-0.06668903266619841,0.36440866615468137,6.7029126601232205,2.038919925805557,0.37951924401905085,1.9404153970496572,-0.10315329403297648,0.3735559132889777,40.11100125445541,0.38277911741477166,123.71674442776849,0.33662285537474296,351.1894911528695,0.33376153542730386,1.2789129320934791,333.0154164874412,0.34946941450142904,1.2127291204932305,0.13562075675424326,0.1797932659772123,0.17229497971159058,12.878953215837601,599.9999999999965,221.96060872165822,14.687030106663501,15.489980789694162,17.45022273363814,14.646081802094939,14.663128227581591,14.666075997058723,14.687030106663501
40,-5,WO,40V2,open,Bias_5V_Iph_1mA_40um_WO_2.xlsx,32,14.67,274.6000000000001,11.35764488114961,10.027380830211536,poly3,0.43774495933175334,-0.20514917911106784,-1.260357988711037,0.43774495933175334,,-0.1341712287181434,-0.6789702931488879,,,0.21680860951210512,4.1982003082665615,37.910278549241134,0.34033143194755877,4.230348295617761,0.0052932834925718975,0.34031403435505275,4.1982003082665615,1.6261726961893355,0.34099521319870546,1.6248691917600346,-0.00094165378801685,0.34099463786427026,55.243679879747816,0.34125243424989854,269.15563279220305,0.3420710288754148,305.73469617221565,0.3390892152468035,1.1133819962571578,294.1455883487676,0.3368121433705173,1.0711783989394301,0.17007112644299635,0.19266282932021284,0.18907685304000918,96.79872628756844,0.0,162.02341209562027,10.106750215119023,10.019793793109093,10.89593424127673,10.252404144558433,10.262942658507702,10.26644018918113,10.106750215119023
40,-7,38,40V1,42.5,Bias_7V_Iph_1mA_40um_38ohm_1.xlsx,40,20.33,227.6,30.719945911571838,16.895448297291118,poly3,1.3537138363512458,-0.9921945751837761,-3.4451676913457545,0.6061584690127536,2.3864433679361663,-0.3483783338633067,-0.4641495088322714,-1.221668941079993,-3.2839038862249996,-2.970862382167069,7.1648159387331996,22.21340289169177,0.26966548855792616,7.381286165235255,0.08149850327072321,0.26512589667493286,6.162886864331743,2.272985726294975,0.22536048612387505,2.291984127683794,0.0355559787391425,0.22416553232416772,35.159471432763546,0.21664130655905572,81.1476405223825,0.4451727595207004,379.19458132137476,0.3503913453504118,1.6660570356826658,349.8476059888297,0.30519966095640233,1.537116019283083,0.22134455285858456,0.32624233890086163,0.3111205748389291,5.370522443736376e-10,297.2939146591359,122.55557052690578,16.849419135362485,18.672338573422326,25.535672067988084,16.772065223726305,16.722086652436275,16.72810876409444,16.849419135362485
40,-7,80,40V2,80.3,Bias_7V_Iph_1mA_40um_38ohm_2.xlsx,40,20.83,227.6,21.816071129337598,16.11721434233676,poly3,1.1178424133436453,-0.9111526572008956,-2.2365596509078958,1.0007227483216177,1.3522320409408102,-0.34626272117834717,-1.059825093571318,-1.144401964509347,-0.623338142742935,-0.5455009401481306,5.742096241216325,27.71721970619256,0.6326316376713353,4.177887047621347,-0.4992903828597542,0.5552771154907026,8.237959604894698,1.9153964637678262,0.663521831069447,1.5623546601197509,-0.5403191602727843,0.5621852784818945,44.013473909379506,0.6717386487780689,106.481983587283,0.50402189255181,308.3224443923146,0.5599470007542171,1.3546680333581484,286.0562918269699,0.6034259917900797,1.256837837552592,0.1319312007274774,0.19234848261362053,0.1647470384455153,5.72906203758441,599.9999999999825,220.81316072688747,16.527871750197306,17.374716301502104,20.125288037568698,16.79105515283176,16.943437517693038,16.978632337399382,16.527871750197306
40,-7,100,40V1,107.5,Bias_7V_Iph_1mA_40um_100ohm_1.xlsx,40,20.67,227.6,20.12582315959839,14.764084398614465,poly3,1.5356832331860286,-1.0960431016944354,-4.063972904805204,0.656248090775041,2.7276985731367867,-0.41891396808331893,-0.5701722811389222,-1.4798397656696671,-3.177095671854936,-4.063972904805204,7.597609227178792,20.94802961470474,0.35198814253091293,7.979028474683778,0.14858941144554538,0.34047771516544323,6.327835226266297,2.3640564597895097,0.2909779058780123,2.410377207204851,0.09256693721758834,0.28463546380260174,33.56134707273735,0.27840422808420445,73.26414549204695,0.5463224231367271,333.18583762225154,0.4990179482938294,1.463909655633794,313.0220997193253,0.43714010461503194,1.37531678259809,0.11940016130536991,0.20907520044111222,0.1707003737857112,6.2494262112649155,599.9999999999891,213.79082186589034,13.820844000582504,13.448589363436943,18.612199904147012,14.175872363358302,14.30680883918378,14.347831814733313,13.820844000582504
40,-7,140,40V1,142.5,Bias_7V_Iph_1mA_120ohm_40um_140ohm_1.xlsx,30,15.5,227.6,18.774953516667725,14.472617014306902,poly3,0.6537784983724682,-0.5598333719053011,-1.6525597154810931,0.5899104588627407,1.6525597154810931,-0.5453494461992715,-0.4570489728352185,-1.1217043585573143,,-1.6525597154810931,5.883690232782945,27.05019074680554,0.2724573654245252,4.706836159122567,-0.26059315378249037,0.21504091027748426,5.703692278754834,2.021637373914194,0.27389299526420935,1.747616907488346,-0.2618225467107818,0.21273724021570442,40.450499686016585,0.2742949739072948,130.8277229578634,0.24145352735940412,291.37411515129253,0.2765863635220271,1.2802026149002308,275.8497123249281,0.27503152505753625,1.211993463642039,0.1290991892621853,0.19404166505503526,0.17770400761941274,20.244437904893097,599.9999999999999,195.93490227738258,14.638548190660126,13.986610494463223,17.381034409225958,14.49223696990036,14.460611629992645,14.453153089699157,14.638548190660126
40,-7,WO,40V1,open,Bias_7V_Iph_1mA_40um_WO_3.xlsx,45,22.5,227.6,13.776150237855298,10.166999677072,poly3,2.1419547920722306,-1.7006925331847147,-4.616631985917055,1.0184323905575672,3.4189913608504443,-0.9878844486679655,-1.2443871399516944,-1.505185887697944,-4.165728407544498,-4.616631985917055,8.738922406585006,18.212193184364235,0.4339843337833219,8.393600849912847,-0.14683389455634296,0.42568558630782877,7.814126474319594,2.5477027996405797,0.3946216939206798,2.446283821210478,-0.2417011617353856,0.36274493823375875,30.983925213076184,0.39337574648388623,55.53862035814009,0.5508654265321338,343.5667778117002,0.8330233925578548,1.5095201134081733,323.63563223588335,0.7108787108687804,1.4219491750258495,0.1673174419666527,0.30952395543998557,0.27460746961945537,76.79929961962716,0.0,144.59518431825774,8.837659988991971,8.565799933214393,13.028416277036165,10.100070529599192,10.458032464243642,10.539705295675226,8.837659988991971
30,-5,38,Mar,35.7,Bias_5V_Iph_1mA_30um_38ohm_1.xlsx,70,36.83,161.10000000000002,37.78500850825858,33.20976420894229,poly3,0.6844178548750982,0.003219055343707376,-1.1585193680663302,0.5580747880091703,0.7570213696535024,-0.4204279452481466,-0.6132821660887819,-0.2637947046882804,0.15414160840163232,1.7880052509802233,1.4343849828388211e-08,11095692230.192516,0.6844178548750982,1.1350900632359846e-09,0.003219055115397721,0.6844102846644876,5.588729690267215,0.8343153616178713,0.6084166750003435,0.5626489762699951,-0.5305782293195398,0.49659789543312705,inf,0.6844178548750982,inf,0.6844178548750982,194.54901857079855,0.6114144775183857,1.2076289172613193,146.01556771049246,0.6015241613682353,0.9063660317224856,0.06341210076141594,0.082975281595578,0.059606757695630876,36.69378920401704,116.9821497369482,150.58835300233946,32.498064575279436,35.210988747254504,30.751246349405243,30.751246349405243,32.51845182343517,30.751246349405243,32.498064575279436
30,-5,60,Mar,57.5,Bias_5V_Iph_1mA_30um_60ohm_1.xlsx,60,31.33,161.10000000000002,31.350313193800115,27.220453557917992,poly3,0.7617961910978917,-0.4013113792584679,-1.4186731183555836,0.8698827078236465,0.6444758903503194,-0.7379183872208698,-0.9357253533275471,-0.5460295832194373,0.030632131436947152,-1.3865469132701413,0.5363920478551063,296.71383781380615,0.7614941022816362,1.6863916666545232e-11,-0.4013113792610532,0.6475203577100273,6.8776903868114285,1.0157430155201537,0.7614222866078502,0.40825513105969413,-0.8790961199048489,0.4917403082675619,426.8434027518086,0.7615030538531525,1038.8234651238265,0.7464253492783075,200.17188704256859,0.7470613051797568,1.2425318872909283,162.3065424438703,0.7613970822555957,1.0074894006447566,0.06564214507680403,0.10429631464692062,0.059990730789836744,28.529099336957106,251.85389163269247,159.72736277771133,25.887456941487393,29.086370130529307,26.225963848869362,26.11087802573642,26.09959237071652,26.114292778630126,25.887456941487393
30,-5,200,Mar,202.3,Bias_5V_Iph_1mA_30um_200ohm_1.xlsx,60,26.5,161.10000000000002,21.04360810702473,16.432441448308193,poly3,0.6672050643228083,-0.5213859301192906,-1.4638886174370414,0.702171439230948,0.6327476870479896,-0.5803001355484936,-0.8285251393116886,-0.5324669635195545,-1.1256354620046856,0.30579612069405826,2.5594918442670824,62.18224271680373,0.5752646665171454,6.225566259274065e-10,-0.521385930162401,0.41631635775170417,6.100288904530228,1.2664111997969536,0.5772172486687732,0.7880130741193822,-0.6898655563692538,0.3955669706904946,92.39924169238132,0.5792261452563873,323.2319823653224,0.5095156214007015,202.45033853057848,0.4721829680030271,1.2566749753605118,177.96234955860615,0.5385600294679068,1.1046700779553453,0.06502231598147992,0.12526559945866997,0.0689617384877626,1.3668793735638432e-15,599.9999999999999,185.15604166809746,17.002658074458385,17.908272681717133,18.763995857150572,17.686185775934085,17.722152714485638,17.743596940422428,17.002658074458385
